endpoint,min_input,max_input,cycles,time
client,32,8192,3186797,1228
server,32,8192,3147902,1215
client,32,8192,3399423,1312
server,32,8192,3269773,1262
client,32,8192,3344970,1291
server,32,8192,3264587,1259
client,32,8192,3482399,1344
server,32,8192,3632793,1401
client,32,8192,4236962,1634
server,32,8192,3158274,1219
client,32,8192,3938767,1519
server,32,8192,3246436,1253
client,32,8192,3036403,1170
server,32,8192,3147902,1215
client,32,8192,3116786,1201
server,32,8192,3985441,1538
client,32,8192,3259401,1257
server,32,8192,3274959,1263
client,32,8192,3474620,1341
server,32,8192,4817794,1859
client,32,8192,3121972,1204
server,32,8192,3459062,1334
client,32,8192,3625014,1399
server,32,8192,3625014,1398
client,32,8192,3619828,1397
server,32,8192,3114193,1202
client,32,8192,3124565,1205
server,32,8192,2992322,1155
client,32,8192,3254215,1265
server,32,8192,17157881,6618
client,32,8192,10480906,4043
server,32,8192,4348461,1677
client,32,8192,4273264,1648
server,32,8192,3897279,1504
client,32,8192,3378679,1304
server,32,8192,3064926,1183
client,32,8192,3402016,1312
server,32,8192,5917226,2283
client,32,8192,4096940,1579
server,32,8192,5839436,2253
client,32,8192,4799643,1852
server,32,8192,3277552,1265
client,32,8192,3223099,1243
server,32,8192,3487585,1346
client,32,8192,3459062,1334
server,32,8192,3256808,1256
client,32,8192,3217913,1241
server,32,8192,4338089,1673
client,32,8192,4096940,1581
server,32,8192,3026031,1168
client,32,8192,3236064,1248
server,32,8192,3111600,1200
client,32,8192,3210134,1238
server,32,8192,3645758,1407
client,32,8192,3412388,1317
server,32,8192,3202355,1237
client,32,8192,3204948,1237
server,32,8192,3596491,1387
client,32,8192,4045080,1561
server,32,8192,4369205,1687
client,32,8192,3886907,1500
server,32,8192,3907651,1507
client,32,8192,4343275,1676
server,32,8192,3261994,1258
client,32,8192,3329412,1284
server,32,8192,3199762,1236
client,32,8192,3261994,1257
server,32,8192,3002694,1159
client,32,8192,3285331,1267
server,32,8192,3212727,1239
client,32,8192,3114193,1201
server,32,8192,3287924,1270
client,32,8192,4675179,1802
server,32,8192,3184204,1229
client,32,8192,3096042,1195
server,32,8192,3098635,1196
client,32,8192,3456469,1332
server,32,8192,4159172,1605
client,32,8192,3666502,1415
server,32,8192,4376984,1689
client,32,8192,3661316,1413
server,32,8192,3103821,1197
client,32,8192,3230878,1246
server,32,8192,3555003,1373
client,32,8192,3671688,1416
server,32,8192,3202355,1235
client,32,8192,3609456,1393
server,32,8192,3269773,1262
client,32,8192,3702804,1428
server,32,8192,3313854,1279
client,32,8192,3319040,1280
server,32,8192,3225692,1244
client,32,8192,3645758,1406
client,32,8192,3199762,1235
server,32,8192,14764542,5695
client,32,8192,4708888,1817
server,32,8192,3140123,1211
client,32,8192,3155681,1217
server,32,8192,3347563,1292
client,32,8192,3153088,1216
server,32,8192,3225692,1244
client,32,8192,3127158,1207
server,32,8192,3153088,1215
client,32,8192,3217913,1241
server,32,8192,3451283,1331
client,32,8192,3163460,1220
server,32,8192,3241250,1251
client,32,8192,3171239,1223
server,32,8192,3186797,1229
server,32,8192,8131648,3136
client,32,8192,7644164,2948
server,32,8192,6150596,2373
client,32,8192,6020946,2322
server,32,8192,7182610,2770
client,32,8192,5401219,2083
server,32,8192,4610354,1778
client,32,8192,4042487,1558
server,32,8192,3160867,1220
client,32,8192,3173832,1224
server,32,8192,3026031,1168
client,32,8192,3886907,1499
server,32,8192,3210134,1239
client,32,8192,3363121,1297
server,32,8192,3526480,1360
client,32,8192,3381272,1304
server,32,8192,3534259,1364
client,32,8192,4470332,1725
server,32,8192,5925005,2285
client,32,8192,6573255,2535
server,32,8192,7125564,2748
client,32,8192,7478212,2884
server,32,8192,6459163,2492
client,32,8192,5204151,2007
server,32,8192,6645859,2563
client,32,8192,7838639,3023
server,32,8192,7667501,2958
client,32,8192,6295804,2427
server,32,8192,9192185,3545
client,32,8192,5958714,2298
server,32,8192,6899973,2663
client,32,8192,5390847,2080
server,32,8192,6757358,2608
client,32,8192,4472925,1725
server,32,8192,4776306,1842
client,32,8192,6010574,2318
server,32,8192,11284736,4352
client,32,8192,6508430,2510
server,32,8192,7032216,2712
client,32,8192,6026132,2325
server,32,8192,6832555,2635
client,32,8192,5504939,2124
server,32,8192,7449689,2874
client,32,8192,7039995,2715
server,32,8192,7250028,2798
client,32,8192,6617336,2553
server,32,8192,7786779,2993
client,32,8192,6350257,2450
server,32,8192,6845520,2641
client,32,8192,8142020,3141
server,32,8192,9811912,3785
client,32,8192,8121276,3133
server,32,8192,6256909,2413
client,32,8192,6326920,2441
server,32,8192,7151494,2759
client,32,8192,9078093,3501
server,32,8192,7957917,3070
client,32,8192,7911243,3052
server,32,8192,6734021,2597
client,32,8192,6617336,2553
server,32,8192,6368408,2456
client,32,8192,6840334,2639
server,32,8192,5463451,2108
client,32,8192,5686449,2194
server,32,8192,7475619,2883
client,32,8192,6536953,2522
server,32,8192,5769425,2226
client,32,8192,6547325,2526
server,32,8192,5896482,2275
client,32,8192,12827571,4948
server,32,8192,7514514,2899
client,32,8192,5494567,2119
server,32,8192,4864468,1876
client,32,8192,6679568,2577
server,32,8192,5398626,2083
client,32,8192,6539546,2522
server,32,8192,6593999,2544
client,32,8192,6749579,2603
server,32,8192,6697719,2584
client,32,8192,6638080,2560
server,32,8192,6334699,2443
client,32,8192,6516209,2513
server,32,8192,5590508,2156
client,32,8192,5170442,1994
server,32,8192,6534360,2522
client,32,8192,6570662,2534
server,32,8192,7444503,2872
client,32,8192,6933682,2674
server,32,8192,14334104,5529
client,32,8192,16001403,6171
server,32,8192,5909447,2280
client,32,8192,6407303,2471
server,32,8192,5862773,2261
client,32,8192,6140224,2369
server,32,8192,7820488,3017
client,32,8192,6588813,2542
server,32,8192,7343376,2832
client,32,8192,8502447,3279
server,32,8192,7039995,2717
client,32,8192,6715870,2590
server,32,8192,6879229,2654
client,32,8192,6160968,2376
server,32,8192,6954426,2683
client,32,8192,8212031,3167
server,32,8192,6280246,2422
client,32,8192,7677873,2962
server,32,8192,7180017,2769
client,32,8192,7504142,2894
server,32,8192,7278551,2807
client,32,8192,11824080,4560
server,32,8192,5976865,2306
client,32,8192,7242249,2793
server,32,8192,7706396,2973
client,32,8192,6715870,2590
server,32,8192,5821285,2246
client,32,8192,7496363,2891
server,32,8192,6910345,2666
client,32,8192,5232674,2018
server,32,8192,7190389,2774
client,32,8192,7242249,2793
server,32,8192,5440114,2098
client,32,8192,6536953,2522
server,32,8192,5883517,2269
client,32,8192,7203354,2779
server,32,8192,7353748,2837
client,32,8192,7784186,3001
server,32,8192,7610455,2935
client,32,8192,7740105,2985
server,32,8192,7268179,2804
client,32,8192,7683059,2964
server,32,8192,6692533,2582
client,32,8192,7566374,2918
server,32,8192,7027030,2711
client,32,8192,7099634,2738
server,32,8192,6959612,2685
client,32,8192,4838538,1865
server,32,8192,12171542,4695
client,32,8192,10592405,4085
server,32,8192,8136834,3138
client,32,8192,7924208,3055
server,32,8192,8691736,3353
client,32,8192,9189592,3544
server,32,8192,7732326,2982
client,32,8192,7154087,2759
server,32,8192,5984644,2310
client,32,8192,5193779,2004
server,32,8192,6604371,2547
client,32,8192,5932784,2288
server,32,8192,7167052,2764
client,32,8192,6643266,2562
server,32,8192,39514727,15240
client,32,8192,21638585,8345
server,32,8192,11606268,4478
client,32,8192,33576757,12949
server,32,8192,21677480,8360
client,32,8192,22903969,8832
client,32,8192,16112902,6215
server,32,8192,23816705,9184
client,32,8192,3674281,1416
server,32,8192,3298296,1272
client,32,8192,4091754,1578
server,32,8192,3803931,1466
client,32,8192,3464248,1337
server,32,8192,3150495,1215
client,32,8192,3676874,1418
server,32,8192,3414981,1317
client,32,8192,3238657,1250
server,32,8192,4128056,1593
client,32,8192,3443504,1329
server,32,8192,3194576,1232
client,32,8192,3210134,1239
server,32,8192,3440911,1328
client,32,8192,3344970,1291
server,32,8192,3223099,1243
client,32,8192,3306075,1276
server,32,8192,3236064,1249
client,32,8192,3355342,1295
server,32,8192,3420167,1319
client,32,8192,3707990,1429
server,32,8192,3344970,1289
client,32,8192,3425353,1323
server,32,8192,3184204,1229
client,32,8192,3243843,1252
server,32,8192,3306075,1276
server,32,8192,3710583,1432
client,32,8192,4457367,1719
server,32,8192,3267180,1261
client,32,8192,4423658,1706
server,32,8192,3217913,1242
client,32,8192,3547224,1344
server,32,8192,4382170,1690
client,32,8192,3842826,1482
server,32,8192,3142716,1212
client,32,8192,3365714,1299
server,32,8192,3557596,1372
client,32,8192,4291415,1643
server,32,8192,3217913,1241
client,32,8192,3544631,1368
server,32,8192,3254215,1255
client,32,8192,3793559,1464
server,32,8192,3191983,1231
client,32,8192,3236064,1248
server,32,8192,4822980,1860
client,32,8192,5748681,2217
server,32,8192,4174730,1611
client,32,8192,3109007,1200
server,32,8192,3420167,1320
client,32,8192,3609456,1393
server,32,8192,3373493,1302
client,32,8192,4013964,1549
server,32,8192,3106414,1198
client,32,8192,3142716,1212
server,32,8192,3448690,1331
client,32,8192,3466841,1338
server,32,8192,3381272,1304
client,32,8192,3256808,1256
server,32,8192,3547224,1368
client,32,8192,3619828,1397
server,32,8192,3350156,1292
client,32,8192,3204948,1235
server,32,8192,3648351,1408
client,32,8192,4211032,1625
server,32,8192,3220506,1243
client,32,8192,3181611,1228
server,32,8192,3495364,1349
client,32,8192,3383865,1306
server,32,8192,4924107,1899
client,32,8192,4221404,1628
server,32,8192,3337191,1287
client,32,8192,3500550,1350
server,32,8192,3912837,1510
client,32,8192,3975069,1533
server,32,8192,3285331,1267
client,32,8192,3448690,1330
server,32,8192,3228285,1246
client,32,8192,3199762,1235
server,32,8192,3298296,1272
client,32,8192,3191983,1232
server,32,8192,3588712,1385
client,32,8192,3868756,1492
server,32,8192,4000999,1546
client,32,8192,3866163,1491
server,32,8192,3417574,1319
client,32,8192,3233471,1247
server,32,8192,3433132,1324
client,32,8192,3282738,1265
server,32,8192,3855791,1487
client,32,8192,3658723,1410
server,32,8192,3121972,1205
client,32,8192,3249029,1253
server,32,8192,3816896,1472
client,32,8192,4096940,1582
server,32,8192,3604270,1390
client,32,8192,3103821,1197
server,32,8192,3529073,1362
client,32,8192,3256808,1256
server,32,8192,3731327,1441
client,32,8192,4130649,1594
server,32,8192,3497957,1350
client,32,8192,3246436,1253
server,32,8192,3583526,1383
client,32,8192,3350156,1293
server,32,8192,3780594,1458
client,32,8192,3625014,1398
server,32,8192,3332005,1285
client,32,8192,3166053,1222
server,32,8192,3147902,1214
client,32,8192,3285331,1267
server,32,8192,3230878,1247
client,32,8192,3140123,1212
server,32,8192,3137530,1210
client,32,8192,3153088,1216
server,32,8192,3202355,1237
client,32,8192,3101228,1196
server,32,8192,3531666,1362
client,32,8192,3046775,1175
server,32,8192,3298296,1273
client,32,8192,3370900,1300
server,32,8192,3604270,1392
client,32,8192,3648351,1408
server,32,8192,3285331,1268
client,32,8192,3365714,1298
server,32,8192,3622421,1397
client,32,8192,3689839,1424
server,32,8192,3293110,1270
client,32,8192,3140123,1212
server,32,8192,3339784,1288
client,32,8192,3041589,1173
server,32,8192,3140123,1211
client,32,8192,3075298,1187
server,32,8192,3142716,1213
client,32,8192,3306075,1276
server,32,8192,3360528,1297
client,32,8192,3160867,1220
server,32,8192,3339784,1289
client,32,8192,3049368,1176
server,32,8192,3264587,1260
client,32,8192,3313854,1278
server,32,8192,3254215,1256
client,32,8192,2958613,1142
server,32,8192,3801338,1466
client,32,8192,4039894,1558
server,32,8192,3435725,1326
client,32,8192,3163460,1220
server,32,8192,3267180,1261
client,32,8192,3018252,1164
server,32,8192,3054554,1178
client,32,8192,2981950,1150
server,32,8192,3396830,1310
client,32,8192,3412388,1316
server,32,8192,3228285,1246
client,32,8192,2997508,1156
server,32,8192,3352749,1294
client,32,8192,3041589,1174
server,32,8192,3287924,1269
client,32,8192,3153088,1217
server,32,8192,3332005,1285
client,32,8192,3319040,1280
server,32,8192,3202355,1236
client,32,8192,3168646,1222
server,32,8192,3215320,1241
client,32,8192,3023438,1166
server,32,8192,3376086,1302
client,32,8192,3249029,1254
server,32,8192,3477213,1341
client,32,8192,3153088,1217
server,32,8192,3451283,1333
client,32,8192,3189390,1230
server,32,8192,3448690,1331
client,32,8192,3236064,1247
server,32,8192,3422760,1320
client,32,8192,3549817,1369
server,32,8192,3666502,1415
client,32,8192,3513515,1355
server,32,8192,3324226,1282
client,32,8192,3155681,1218
server,32,8192,3298296,1272
client,32,8192,2958613,1142
server,32,8192,3254215,1256
client,32,8192,3101228,1197
server,32,8192,2997508,1156
client,32,8192,3282738,1267
server,32,8192,3427946,1323
client,32,8192,4934479,1903
server,32,8192,3249029,1253
client,32,8192,3293110,1269
server,32,8192,3204948,1236
client,32,8192,3394237,1309
server,32,8192,3321633,1282
client,32,8192,3046775,1175
server,32,8192,3505736,1353
client,32,8192,3542038,1367
server,32,8192,3212727,1241
client,32,8192,3713176,1432
server,32,8192,3106414,1199
client,32,8192,3038996,1172
server,32,8192,3539445,1365
client,32,8192,3389051,1306
server,32,8192,3332005,1285
client,32,8192,3671688,1418
server,32,8192,3503143,1351
client,32,8192,3109007,1200
server,32,8192,3355342,1295
client,32,8192,4107312,1584
server,32,8192,3389051,1307
client,32,8192,3186797,1230
server,32,8192,3267180,1260
client,32,8192,3127158,1207
server,32,8192,3324226,1282
client,32,8192,3033810,1170
server,32,8192,3513515,1355
client,32,8192,3347563,1291
server,32,8192,3251622,1284
client,32,8192,3274959,1263
server,32,8192,3505736,1353
client,32,8192,3350156,1293
server,32,8192,3225692,1246
client,32,8192,3578340,1381
server,32,8192,3355342,1295
client,32,8192,3044182,1175
server,32,8192,3339784,1290
client,32,8192,3261994,1259
server,32,8192,3259401,1258
client,32,8192,3785780,1461
server,32,8192,3070112,1185
client,32,8192,3046775,1175
server,32,8192,3381272,1305
client,32,8192,2956020,1140
server,32,8192,3261994,1259
client,32,8192,3051961,1177
server,32,8192,3300889,1273
client,32,8192,3093449,1194
server,32,8192,4418472,1705
client,32,8192,3858384,1489
server,32,8192,3264587,1259
client,32,8192,3272366,1263
server,32,8192,3189390,1230
client,32,8192,3163460,1221
server,32,8192,3251622,1256
client,32,8192,3173832,1224
server,32,8192,3578340,1380
client,32,8192,3373493,1301
server,32,8192,3124565,1206
client,32,8192,3534259,1364
server,32,8192,3264587,1260
client,32,8192,4042487,1560
server,32,8192,3223099,1243
client,32,8192,3293110,1271
server,32,8192,3321633,1282
client,32,8192,3871349,1493
server,32,8192,3399423,1312
client,32,8192,3282738,1266
server,32,8192,3225692,1245
client,32,8192,3062333,1182
server,32,8192,3461655,1336
client,32,8192,3241250,1250
server,32,8192,3176425,1225
client,32,8192,3085670,1190
server,32,8192,4584424,1772
client,32,8192,4286229,1653
server,32,8192,3285331,1267
client,32,8192,3026031,1168
server,32,8192,3412388,1316
client,32,8192,3570561,1379
server,32,8192,3886907,1499
client,32,8192,3337191,1288
server,32,8192,3202355,1236
client,32,8192,3303482,1274
server,32,8192,3391644,1308
client,32,8192,3477213,1341
server,32,8192,3236064,1248
client,32,8192,3529073,1361
server,32,8192,4148800,1601
client,32,8192,3930988,1517
server,32,8192,3344970,1291
client,32,8192,3114193,1202
server,32,8192,3332005,1286
client,32,8192,3427946,1323
server,32,8192,3054554,1179
client,32,8192,3106414,1198
server,32,8192,3868756,1493
client,32,8192,3969883,1532
server,32,8192,3643165,1406
client,32,8192,3466841,1336
server,32,8192,3186797,1231
client,32,8192,3083077,1190
server,32,8192,3249029,1254
client,32,8192,3163460,1221
server,32,8192,4317345,1665
client,32,8192,3692432,1424
server,32,8192,3254215,1255
client,32,8192,3121972,1205
server,32,8192,3552410,1370
client,32,8192,3197169,1233
server,32,8192,6404710,2471
client,32,8192,6116887,2360
server,32,8192,7413387,2860
client,32,8192,6179119,2383
server,32,8192,7545630,2910
client,32,8192,6695126,2581
server,32,8192,6295804,2428
client,32,8192,6536953,2521
server,32,8192,5958714,2298
client,32,8192,5873145,2266
server,32,8192,6166154,2379
client,32,8192,6513616,2511
server,32,8192,6189491,2388
client,32,8192,6671789,2573
server,32,8192,5857587,2259
client,32,8192,6801439,2624
server,32,8192,6433233,2481
client,32,8192,6511023,2511
server,32,8192,5963900,2300
client,32,8192,5338987,2060
server,32,8192,6020946,2324
client,32,8192,5686449,2194
server,32,8192,6772916,2613
client,32,8192,7480805,2886
server,32,8192,6640673,2562
client,32,8192,5230081,2018
server,32,8192,9303684,3588
client,32,8192,8307972,3204
server,32,8192,7382271,2847
client,32,8192,6049469,2333
server,32,8192,7861976,3033
client,32,8192,8564679,3303
server,32,8192,6995914,2699
client,32,8192,6220607,2399
server,32,8192,7776407,3000
client,32,8192,7104820,2741
server,32,8192,6288025,2428
client,32,8192,8191287,3160
server,32,8192,6842927,2640
client,32,8192,6936275,2676
server,32,8192,7296702,2814
client,32,8192,5984644,2308
server,32,8192,6036504,2329
client,32,8192,7291516,2813
server,32,8192,6931089,2673
client,32,8192,6612150,2551
server,32,8192,5582729,2154
client,32,8192,7353748,2836
server,32,8192,7480805,2885
client,32,8192,6223200,2400
server,32,8192,6746986,2602
client,32,8192,6153189,2373
server,32,8192,6498058,2506
client,32,8192,7180017,2759
server,32,8192,7226691,2787
client,32,8192,6251723,2411
server,32,8192,8673585,3345
client,32,8192,8883618,3427
server,32,8192,5753867,2220
client,32,8192,7333004,2829
server,32,8192,7275958,2805
