sec_lvl,test_id,cycles,time
1,29,56361448,21736
1,30,5186,1
1,30,2593,0
1,30,38895,15
1,30,62628729,24153
1,30,7779,2
1,30,2593,1
1,30,55645780,21458
1,31,5186,2
1,31,2593,1
1,31,36302,14
1,31,55772837,21508
1,31,2593,1
1,31,2593,1
1,31,54668219,21082
1,32,5186,1
1,32,0,1
1,32,36302,14
1,32,56592225,21824
1,32,5186,1
1,32,2593,0
1,32,54336315,20955
1,33,2593,1
1,33,0,1
1,33,59639,24
1,33,55892115,21555
1,33,5186,1
1,33,2593,1
1,33,55596513,21441
1,34,5186,1
1,34,0,0
1,34,28523,11
1,34,60121298,23186
1,34,2593,2
1,34,10372,2
1,34,56605190,21830
1,35,5186,1
1,35,2593,1
1,35,31116,11
1,35,60103147,23179
1,35,5186,1
1,35,2593,1
1,35,53133163,20491
1,36,5186,1
1,36,2593,1
1,36,36302,14
1,36,55440933,21380
1,36,5186,1
1,36,2593,1
1,36,56358855,21734
1,37,5186,1
1,37,2593,0
1,37,36302,14
1,37,56561109,21812
1,37,2593,1
1,37,2593,1
1,37,55210156,21291
1,38,5186,1
1,38,0,1
1,38,36302,15
1,38,55326841,21337
1,38,2593,1
1,38,2593,1
1,38,57230103,22069
1,39,5186,1
1,39,0,1
1,39,38895,14
1,39,59791987,23058
1,39,7779,2
1,39,2593,1
1,39,55368329,21353
1,40,7779,1
1,40,2593,0
1,40,33709,13
1,40,56382192,21743
1,40,7779,1
1,40,2593,1
1,40,55980277,21588
1,41,5186,1
1,41,2593,0
1,41,38895,15
1,41,57302707,22099
1,41,5186,2
1,41,2593,0
1,41,56540365,21803
1,42,2593,1
1,42,2593,1
1,42,28523,12
1,42,55090878,21245
1,42,0,0
1,42,5186,1
1,42,55075320,21239
1,43,5186,1
1,43,0,1
1,43,25930,11
1,43,58500673,22560
1,43,5186,2
1,43,2593,1
1,43,57429764,22147
1,44,2593,0
1,44,0,1
1,44,28523,11
1,44,57147127,22039
1,44,2593,1
1,44,0,1
1,44,53773634,20738
1,45,5186,1
1,45,0,1
1,45,25930,11
1,45,57318265,22104
1,45,5186,2
1,45,2593,1
1,45,54533383,21029
1,46,5186,1
1,46,0,1
1,46,28523,11
1,46,56335518,21725
1,46,7779,2
1,46,2593,1
1,46,53988853,20820
1,47,7779,2
1,47,2593,1
1,47,33709,13
1,47,56480726,21781
1,47,5186,2
1,47,2593,0
1,47,54867880,21159
1,48,5186,1
1,48,2593,1
1,48,41488,15
1,48,62818018,24225
1,48,5186,2
1,48,2593,1
1,48,38832768,14974
1,49,7779,2
1,49,2593,0
1,49,36302,14
1,49,56452203,21770
1,49,2593,1
1,49,2593,0
1,49,35983061,13876
2,0,2593,1
2,0,2593,1
2,0,31116,11
2,0,69461284,26788
2,0,2593,1
2,0,2593,1
2,0,68351480,26360
