endpoint,min_input,max_input,cycles,time
client,32,8192,4615540,1814
server,32,8192,4822980,1861
server,32,8192,4830759,1865
client,32,8192,5048571,1948
server,32,8192,5987237,2309
client,32,8192,5217116,2012
client,32,8192,4579238,1767
server,32,8192,4934479,1904
server,32,8192,4970781,1918
client,32,8192,5307871,2048
client,32,8192,4763341,1837
server,32,8192,4973374,1918
server,32,8192,5603473,2161
client,32,8192,5709786,2201
server,32,8192,4947444,1909
client,32,8192,4768527,1840
server,32,8192,4924107,1900
client,32,8192,4768527,1840
server,32,8192,5144512,1985
client,32,8192,5624217,2170
server,32,8192,5323429,2054
client,32,8192,5110803,1973
server,32,8192,4867061,1878
client,32,8192,4662214,1798
server,32,8192,5616438,2165
client,32,8192,5867959,2262
server,32,8192,4864468,1877
client,32,8192,5105617,1970
server,32,8192,4763341,1838
client,32,8192,4480704,1729
server,32,8192,5826471,2249
client,32,8192,5481602,2113
server,32,8192,5839436,2252
client,32,8192,4773713,1841
client,32,8192,4781492,1845
server,32,8192,4856689,1874
client,32,8192,4890398,1888
server,32,8192,5533462,2135
server,32,8192,5499753,2120
client,32,8192,5331208,2055
client,32,8192,4861875,1877
server,32,8192,5082280,1960
server,32,8192,4636284,1789
client,32,8192,5333801,2057
server,32,8192,5320836,2065
client,32,8192,4874840,1879
client,32,8192,4618133,1781
server,32,8192,5738309,2213
client,32,8192,4716667,1820
server,32,8192,4838538,1867
server,32,8192,5590508,2156
client,32,8192,6023539,2323
client,32,8192,4864468,1876
server,32,8192,5842029,2254
server,32,8192,5821285,2246
client,32,8192,5429742,2093
server,32,8192,6407303,2472
client,32,8192,6295804,2429
server,32,8192,5331208,2057
client,32,8192,5219709,2014
server,32,8192,5147105,1986
client,32,8192,5733123,2211
server,32,8192,5460858,2107
client,32,8192,8419471,3248
server,32,8192,4983746,1922
client,32,8192,5294906,2043
server,32,8192,4680365,1806
client,32,8192,5022641,1938
server,32,8192,4758155,1836
client,32,8192,5279348,2036
server,32,8192,5069315,1956
client,32,8192,6682161,2578
server,32,8192,12788676,4933
client,32,8192,9132546,3524
server,32,8192,8559493,3302
client,32,8192,8798049,3394
server,32,8192,9015861,3478
client,32,8192,10014166,3862
server,32,8192,9210336,3553
client,32,8192,10286431,3968
server,32,8192,9848214,3798
client,32,8192,10187897,3929
server,32,8192,8930292,3446
client,32,8192,11072110,4270
server,32,8192,9220708,3556
client,32,8192,9801540,3780
server,32,8192,8318344,3209
client,32,8192,10400523,4012
server,32,8192,6339885,2444
client,32,8192,7436724,2870
server,32,8192,11142121,4298
client,32,8192,10180118,3928
server,32,8192,5450486,2103
client,32,8192,5126361,1977
server,32,8192,4786678,1847
client,32,8192,5362324,2069
server,32,8192,5103024,1970
client,32,8192,5860180,2261
server,32,8192,6355443,2451
client,32,8192,6371001,2458
server,32,8192,5419370,2091
client,32,8192,5082280,1960
server,32,8192,4975967,1920
client,32,8192,6765137,2611
server,32,8192,5764239,2222
client,32,8192,5805727,2240
server,32,8192,6288025,2424
client,32,8192,6485093,2501
server,32,8192,5520497,2129
client,32,8192,6409896,2471
server,32,8192,5665705,2186
client,32,8192,5860180,2261
server,32,8192,5606066,2162
client,32,8192,5678670,2190
server,32,8192,6329513,2441
client,32,8192,6575848,2537
server,32,8192,5515311,2129
client,32,8192,6083178,2346
server,32,8192,5665705,2185
client,32,8192,7449689,2875
server,32,8192,5950935,2295
client,32,8192,7810116,3013
server,32,8192,5375289,2073
client,32,8192,5297499,2044
server,32,8192,6243944,2409
client,32,8192,6230979,2404
server,32,8192,5637182,2175
client,32,8192,5313057,2050
server,32,8192,6005388,2316
client,32,8192,6360629,2453
server,32,8192,5364917,2069
client,32,8192,5989830,2311
server,32,8192,5250825,2025
client,32,8192,5502346,2123
server,32,8192,5860180,2261
client,32,8192,5274162,2035
server,32,8192,5284534,2039
client,32,8192,5281941,2038
server,32,8192,6026132,2325
client,32,8192,6417675,2476
server,32,8192,5326022,2055
client,32,8192,5753867,2220
server,32,8192,5455672,2105
client,32,8192,7001100,2717
server,32,8192,9690041,3739
client,32,8192,9944155,3838
server,32,8192,5795355,2236
client,32,8192,5886110,2270
server,32,8192,5279348,2037
client,32,8192,8170543,3152
server,32,8192,10740206,4143
client,32,8192,9648553,3721
server,32,8192,11479211,4428
client,32,8192,10486092,4044
server,32,8192,8870653,3423
client,32,8192,7447096,2873
server,32,8192,10359035,3996
client,32,8192,9381474,3619
server,32,8192,5554206,2143
client,32,8192,5738309,2214
server,32,8192,5639775,2176
client,32,8192,6679568,2577
server,32,8192,6625115,2555
client,32,8192,5971679,2303
server,32,8192,8126462,3133
client,32,8192,6640673,2562
server,32,8192,6881822,2653
client,32,8192,5344173,2061
server,32,8192,6977763,2690
client,32,8192,8940664,3448
server,32,8192,5250825,2026
client,32,8192,5227488,2017
server,32,8192,5271569,2035
client,32,8192,5261197,2030
server,32,8192,11440316,4412
client,32,8192,12544934,4839
server,32,8192,9658925,3726
client,32,8192,8074602,3114
server,32,8192,9459264,3649
client,32,8192,9687448,3736
server,32,8192,9397032,3624
client,32,8192,8756561,3378
server,32,8192,9210336,3552
client,32,8192,8183508,3156
server,32,8192,9153290,3532
client,32,8192,8445401,3258
server,32,8192,6205049,2392
client,32,8192,7369306,2843
server,32,8192,6736614,2599
client,32,8192,6591406,2542
server,32,8192,5507532,2124
client,32,8192,5984644,2309
server,32,8192,5621624,2168
client,32,8192,5401219,2083
server,32,8192,5857587,2262
client,32,8192,6225793,2402
server,32,8192,5460858,2107
client,32,8192,5427149,2095
server,32,8192,5624217,2171
client,32,8192,5665705,2185
server,32,8192,6389152,2464
client,32,8192,6915531,2669
server,32,8192,5367510,2070
client,32,8192,5717565,2205
server,32,8192,4841131,1868
client,32,8192,5261197,2030
server,32,8192,5932784,2289
client,32,8192,6111701,2358
server,32,8192,5354545,2065
client,32,8192,5792762,2235
server,32,8192,5932784,2289
client,32,8192,5691635,2195
server,32,8192,11920021,4611
client,32,8192,11541443,4453
server,32,8192,9215522,3555
client,32,8192,8377983,3231
server,32,8192,5870552,2266
client,32,8192,5572357,2149
server,32,8192,5427149,2094
client,32,8192,6109108,2357
server,32,8192,5886110,2272
client,32,8192,6368408,2456
server,32,8192,5989830,2311
client,32,8192,5733123,2211
server,32,8192,4799643,1853
client,32,8192,4727039,1824
server,32,8192,5676077,2190
client,32,8192,5491974,2119
server,32,8192,5517904,2130
client,32,8192,5523090,2131
server,32,8192,5328615,2057
client,32,8192,5393440,2081
server,32,8192,5393440,2082
client,32,8192,5289720,2041
server,32,8192,5512718,2127
client,32,8192,5613845,2165
server,32,8192,5463451,2108
client,32,8192,6946647,2680
server,32,8192,5323429,2054
client,32,8192,5302685,2046
server,32,8192,4758155,1836
client,32,8192,6080585,2346
server,32,8192,5453079,2104
client,32,8192,6451384,2489
server,32,8192,6402117,2468
client,32,8192,6643266,2562
server,32,8192,6391745,2466
client,32,8192,5541241,2136
server,32,8192,5909447,2850
client,32,8192,5676077,2191
server,32,8192,6181712,2383
client,32,8192,6378780,2459
server,32,8192,6306176,2432
client,32,8192,6381373,2461
server,32,8192,5642368,2177
client,32,8192,5393440,2081
server,32,8192,5730530,2212
