sec_lvl,test_id,operation,cycles,time
2,39,psk_derive_premaster,2594,2
2,39,sha256_hash_master_secret,51880,21
2,39,sha256_hash_key_expansion,137482,53
2,40,psk_derive_premaster,5188,1
2,40,sha256_hash_master_secret,51880,20
2,40,sha256_hash_key_expansion,160828,62
2,41,psk_derive_premaster,2594,1
2,41,sha256_hash_master_secret,51880,19
2,41,sha256_hash_key_expansion,132294,52
2,42,psk_derive_premaster,2594,2
2,42,sha256_hash_master_secret,51880,20
2,42,sha256_hash_key_expansion,132294,51
2,43,psk_derive_premaster,2594,1
2,43,sha256_hash_master_secret,147858,56
2,43,sha256_hash_key_expansion,134888,52
2,44,psk_derive_premaster,2594,2
2,44,sha256_hash_master_secret,51880,20
2,44,sha256_hash_key_expansion,132294,51
2,45,psk_derive_premaster,5188,1
2,45,sha256_hash_master_secret,51880,20
2,45,sha256_hash_key_expansion,132294,51
2,46,psk_derive_premaster,5188,1
2,46,sha256_hash_master_secret,54474,20
2,46,sha256_hash_key_expansion,134888,51
2,47,psk_derive_premaster,5188,1
2,47,sha256_hash_master_secret,51880,20
2,47,sha256_hash_key_expansion,132294,51
2,48,psk_derive_premaster,2594,2
2,48,sha256_hash_master_secret,51880,21
2,48,sha256_hash_key_expansion,171204,65
2,49,psk_derive_premaster,5188,1
2,49,sha256_hash_master_secret,51880,21
2,49,sha256_hash_key_expansion,132294,51
3,0,psk_derive_premaster,2594,1
3,0,sha256_hash_master_secret,51880,20
3,0,sha256_hash_key_expansion,132294,51
3,1,psk_derive_premaster,2594,1
3,1,sha256_hash_master_secret,51880,20
3,1,sha256_hash_key_expansion,132294,51
3,2,psk_derive_premaster,2594,1
3,2,sha256_hash_master_secret,51880,20
3,2,sha256_hash_key_expansion,132294,51
3,3,psk_derive_premaster,5188,1
3,3,sha256_hash_master_secret,51880,20
3,3,sha256_hash_key_expansion,134888,52
3,4,psk_derive_premaster,5188,2
3,4,sha256_hash_master_secret,51880,20
3,4,sha256_hash_key_expansion,132294,51
3,5,psk_derive_premaster,2594,1
3,5,sha256_hash_master_secret,108948,42
3,5,sha256_hash_key_expansion,163422,63
3,6,psk_derive_premaster,5188,1
3,6,sha256_hash_master_secret,51880,19
3,6,sha256_hash_key_expansion,134888,52
3,7,psk_derive_premaster,5188,1
3,7,sha256_hash_master_secret,51880,20
3,7,sha256_hash_key_expansion,134888,51
3,8,psk_derive_premaster,2594,1
3,8,sha256_hash_master_secret,54474,20
3,8,sha256_hash_key_expansion,137482,54
3,9,psk_derive_premaster,2594,1
3,9,sha256_hash_master_secret,51880,20
3,9,sha256_hash_key_expansion,137482,53
