endpoint,input_size,enc_cycles,enc_usec,dec_cycles,dec_usec
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,7779,2,7779,3
server,16,7779,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,1,7779,3
server,16,7779,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,1,12965,4
server,16,5186,2,10372,5
client,16,7779,2,15558,5
server,16,7779,2,12965,5
client,16,38895,3,15558,5
server,16,7779,2,10372,4
client,16,0,0,10372,3
server,16,10372,4,0,0
client,16,7779,2,15558,5
server,16,7779,3,7779,3
client,16,5186,2,225591,87
server,16,7779,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,54453,0,7779,3
client,16,7779,2,7779,2
server,16,7779,2,0,0
client,16,7779,2,12965,5
server,16,5186,2,7779,2
client,16,7779,2,10372,3
server,16,5186,3,0,0
client,16,7779,2,7779,3
server,16,7779,2,10372,3
client,16,7779,2,15558,4
server,16,10372,3,15558,5
client,16,7779,3,10372,4
server,16,7779,2,12965,4
client,16,7779,2,12965,4
server,16,5186,2,7779,3
client,16,7779,2,7779,4
server,16,5186,84,10372,3
client,16,7779,2,10372,3
server,16,7779,2,0,0
client,16,7779,2,10372,3
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,7779,2,7779,2
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,5186,3,7779,3
server,16,10372,3,10372,4
client,16,7779,3,12965,4
server,16,10372,3,10372,4
client,16,5186,2,41488,3
server,16,7779,3,15558,5
client,16,7779,2,10372,3
server,16,0,0,12965,5
client,16,15558,6,0,0
server,16,7779,3,12965,4
client,16,7779,2,15558,5
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,7779,2,7779,2
client,16,7779,2,7779,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,7779,2,7779,2
server,16,7779,2,10372,3
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,5186,3,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,3,7779,2
server,16,5186,2,10372,3
client,16,7779,2,7779,3
server,16,5186,2,10372,3
client,16,7779,2,7779,3
server,16,7779,2,7779,3
client,16,5186,3,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,3
server,16,5186,2,10372,3
client,16,5186,3,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,7779,2,7779,3
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,10372,4
client,16,10372,3,7779,2
server,16,5186,2,51860,5
client,16,7779,3,12965,4
server,16,38895,3,41488,15
client,16,7779,2,5186,2
server,16,5186,2,10372,4
client,16,7779,2,10372,4
server,16,5186,2,7779,3
client,16,5186,2,10372,4
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,7779,2,7779,3
client,16,7779,2,7779,3
server,16,7779,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,3
client,16,7779,2,10372,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,7779,2,5186,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,7779,2,7779,2
client,16,7779,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,5186,2,10372,4
client,16,15558,4,10372,4
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,0,0
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,7779,2,10372,3
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,7779,2,5186,3
server,16,5186,1,7779,2
client,16,7779,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,7779,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,10372,3
client,16,7779,2,7779,2
server,16,7779,2,7779,3
client,16,5186,3,10372,3
server,16,5186,2,10372,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,5186,2
server,16,5186,2,7779,2
client,16,7779,2,7779,3
server,16,207440,80,7779,2
client,16,5186,3,5186,3
server,16,5186,1,7779,3
client,16,5186,1,33709,13
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,5186,3
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,7779,2,0,0
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,5186,3
client,16,7779,2,10372,4
server,16,7779,3,12965,5
client,16,7779,2,15558,5
server,16,7779,3,12965,5
client,16,5186,3,12965,4
server,16,5186,2,12965,5
client,16,5186,3,15558,5
server,16,5186,3,7779,3
client,16,7779,2,10372,3
server,16,5186,3,7779,3
client,16,5186,2,10372,3
server,16,7779,2,15558,5
client,16,5186,3,10372,4
server,16,5186,2,10372,3
client,16,5186,2,10372,3
server,16,5186,2,10372,3
client,16,7779,2,7779,3
server,16,7779,3,12965,4
client,16,10372,3,15558,6
server,16,7779,3,49267,19
client,16,7779,2,12965,5
server,16,5186,3,10372,3
client,16,5186,2,12965,4
server,16,7779,2,12965,4
client,16,5186,2,7779,3
server,16,7779,2,7779,3
client,16,5186,2,7779,2
server,16,5186,3,5186,3
client,16,5186,2,7779,3
server,16,7779,2,5186,3
client,16,5186,1,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,0,0,5186,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,7779,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,5186,1,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,7779,3,10372,3
client,16,5186,3,7779,2
server,16,5186,2,10372,3
client,16,10372,3,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,5186,2,10372,4
client,16,5186,3,0,0
server,16,5186,2,0,0
client,16,5186,2,5186,3
server,16,7779,2,5186,3
client,16,5186,2,5186,2
server,16,7779,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,10372,3
server,16,7779,2,7779,3
client,16,5186,3,70011,15
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,1,5186,3
server,16,5186,2,5186,3
client,16,0,0,5186,2
server,16,0,0,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,5186,1,5186,3
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,2593,2,7779,3
client,16,5186,2,7779,2
server,16,5186,1,5186,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,7779,2,18151,3
server,16,5186,3,10372,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,0,0,7779,2
server,16,2593,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,12965,5
client,16,2593,2,10372,3
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,5186,1,5186,2
client,16,0,0,5186,3
server,16,0,0,5186,3
client,16,5186,1,7779,2
server,16,5186,2,5186,2
client,16,5186,2,5186,3
server,16,7779,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,2593,2,7779,3
server,16,10372,3,15558,5
client,16,7779,2,15558,5
server,16,7779,2,10372,3
client,16,5186,2,7779,2
server,16,5186,3,5186,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,10372,3
client,16,5186,2,5186,2
server,16,5186,2,7779,3
client,16,5186,2,10372,4
server,16,10372,197,18151,5
client,16,10372,2,12965,5
server,16,5186,2,12965,4
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,0,0,7779,2
server,16,5186,2,5186,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,0,0
client,16,5186,2,20744,8
server,16,10372,3,18151,6
client,16,10372,3,20744,9
server,16,5186,3,10372,3
client,16,5186,3,7779,3
server,16,7779,2,7779,2
client,16,5186,3,7779,2
server,16,5186,3,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,7779,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,7779,2,12965,4
client,16,5186,2,15558,5
server,16,5186,2,10372,4
client,16,5186,3,7779,3
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,10372,3
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,5186,2,2593,1
client,16,5186,2,10372,3
server,16,5186,2,7779,3
client,16,5186,2,10372,3
server,16,7779,3,15558,4
client,16,5186,2,46674,16
server,16,7779,2,12965,4
client,16,7779,2,10372,4
server,16,5186,2,10372,4
client,16,7779,2,7779,3
server,16,5186,2,7779,2
client,16,5186,3,5186,3
server,16,7779,2,10372,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,7779,2,5186,2
server,16,5186,2,7779,3
client,16,7779,2,5186,3
server,16,5186,2,7779,2
client,16,7779,2,5186,3
server,16,7779,2,38895,2
client,16,7779,2,7779,3
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,7779,2,10372,3
server,16,7779,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,5186,3
client,16,7779,2,10372,4
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,5186,3
server,16,5186,3,10372,4
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,7779,2,7779,3
server,16,5186,2,7779,2
client,16,5186,3,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,82976,31
client,16,7779,2,12965,4
server,16,7779,2,10372,3
client,16,5186,2,12965,5
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,5186,3
server,16,7779,3,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,7779,2,10372,3
client,16,7779,2,12965,4
server,16,7779,2,10372,5
client,16,7779,2,10372,3
server,16,5186,3,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,7779,2,10372,3
client,16,5186,2,7779,3
server,16,7779,2,5186,3
client,16,5186,3,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,10372,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,10372,3
server,16,5186,2,10372,3
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,7779,2,7779,3
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,7779,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,5186,3
client,16,5186,2,7779,3
server,16,7779,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,38895,15
server,16,5186,2,7779,2
client,16,5186,3,10372,3
server,16,5186,2,7779,3
client,16,5186,2,5186,2
server,16,7779,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,7779,2,0,0
server,16,0,0,10372,4
client,16,7779,2,7779,4
server,16,7779,2,7779,2
client,16,5186,3,5186,3
server,16,7779,2,7779,3
client,16,7779,2,5186,2
server,16,5186,2,7779,3
client,16,5186,1,7779,3
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,3
client,16,5186,2,10372,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,7779,2,7779,3
client,16,7779,2,12965,4
server,16,7779,3,15558,6
client,16,5186,2,10372,3
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,5186,2,10372,3
client,16,7779,2,7779,2
server,16,7779,2,15558,5
client,16,10372,4,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,3,5186,3
server,16,5186,2,5186,3
client,16,7779,2,7779,2
server,16,7779,2,7779,3
client,16,5186,1,5186,2
server,16,7779,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,10372,3
server,16,7779,2,10372,3
client,16,5186,2,7779,3
server,16,5186,2,10372,3
client,16,7779,2,7779,3
server,16,5186,2,10372,3
client,16,5186,3,7779,3
server,16,7779,2,7779,3
client,16,7779,2,5186,3
server,16,5186,3,7779,3
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,7779,2,5186,3
client,16,5186,3,5186,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,5186,1,7779,2
server,16,10372,3,7779,2
client,16,5186,1,5186,3
server,16,5186,2,5186,3
client,16,2593,2,7779,2
server,16,5186,2,5186,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,4
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,5186,2,7779,3
server,16,7779,2,5186,3
client,16,5186,2,7779,3
server,16,7779,2,5186,3
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,7779,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,3,7779,3
server,16,5186,2,5186,3
client,16,7779,2,5186,3
server,16,5186,2,5186,3
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,1,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,0,0
server,16,5186,2,5186,3
client,16,7779,2,7779,2
server,16,5186,2,5186,3
client,16,7779,2,7779,2
server,16,7779,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,7779,2,241149,93
client,16,5186,3,0,0
server,16,7779,2,7779,3
client,16,5186,3,7779,2
server,16,5186,2,5186,3
client,16,7779,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,7779,2,7779,3
client,16,5186,2,5186,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,4
server,16,7779,2,10372,3
client,16,5186,2,7779,3
server,16,5186,2,0,0
client,16,7779,2,7779,2
server,16,7779,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,7779,3,7779,2
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,5186,2,10372,4
client,16,5186,2,7779,2
server,16,7779,2,10372,4
client,16,5186,3,10372,3
server,16,7779,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,10372,4
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,5186,2,10372,3
client,16,7779,3,5186,2
server,16,5186,2,7779,293
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,7779,2,7779,3
client,16,5186,1,5186,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,1,7779,3
server,16,7779,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,5186,1,5186,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,7779,2,5186,3
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,7779,2,7779,2
client,16,5186,1,7779,2
server,16,5186,2,7779,2
client,16,7779,2,5186,2
server,16,5186,2,7779,2
client,16,7779,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,7779,2,7779,2
server,16,225591,88,38895,15
client,16,5186,2,7779,3
server,16,5186,2,0,0
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,12965,5
client,16,10372,3,5186,3
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,5186,2
client,16,7779,2,7779,2
server,16,5186,1,7779,3
