endpoint,operation,input_size,cycles
server,decrypt,64,10372
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,7779
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,12965
client,encrypt,64,5186
server,decrypt,64,12965
server,encrypt,64,5186
client,decrypt,64,10372
client,encrypt,64,5186
server,decrypt,64,10372
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,12965
server,encrypt,64,10372
client,decrypt,64,7779
client,encrypt,64,7779
server,decrypt,64,10372
server,encrypt,64,7779
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,2593
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,12965
server,encrypt,64,7779
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,10372
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,10372
client,encrypt,64,12965
server,decrypt,64,10372
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,7779
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,2593
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,2593
client,decrypt,64,7779
client,encrypt,64,2593
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,2593
server,decrypt,64,41488
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,36302
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,7779
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,10372
client,encrypt,64,7779
server,decrypt,64,10372
server,encrypt,64,10372
client,decrypt,64,12965
client,encrypt,64,7779
server,decrypt,64,12965
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,7779
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,2593
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,7779
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,2593
client,decrypt,64,7779
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,7779
client,decrypt,64,12965
client,encrypt,64,5186
server,decrypt,64,10372
server,encrypt,64,7779
client,decrypt,64,33709
client,encrypt,64,10372
server,decrypt,64,10372
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,5186
server,decrypt,64,12965
server,encrypt,64,7779
client,decrypt,64,12965
client,encrypt,64,7779
server,decrypt,64,10372
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,5186
server,decrypt,64,10372
server,encrypt,64,5186
client,decrypt,64,0
client,encrypt,64,7779
server,decrypt,64,10372
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,7779
server,decrypt,64,10372
server,encrypt,64,5186
client,decrypt,64,7779
client,encrypt,64,7779
server,decrypt,64,7779
server,encrypt,64,7779
client,decrypt,64,7779
client,encrypt,64,7779
server,decrypt,64,10372
server,encrypt,64,7779
client,decrypt,64,10372
client,encrypt,64,7779
server,decrypt,64,7779
server,encrypt,64,5186
client,decrypt,64,10372
client,encrypt,64,7779
server,decrypt,64,7779
server,encrypt,64,7779
