endpoint,operation,data_size,cycles,time
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,12965,5
client,encrypt,56,12965,5
server,decrypt,56,15558,6
server,encrypt,56,15558,5
client,decrypt,56,20744,6
client,encrypt,56,12965,5
server,decrypt,56,18151,6
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,6
server,decrypt,56,18151,6
server,encrypt,56,12965,5
client,decrypt,56,18151,6
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,18151,6
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,18151,5
client,encrypt,56,12965,5
server,decrypt,56,15558,6
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,18151,6
client,decrypt,56,15558,6
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,46674,17
server,encrypt,56,12965,6
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,12965,6
server,encrypt,56,44081,17
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,15558,6
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,4
client,decrypt,56,15558,5
client,encrypt,56,12965,6
server,decrypt,56,18151,6
server,encrypt,56,15558,6
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,12965,5
server,decrypt,56,20744,6
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,23337,8
